ax,ay,az
  10,  -34,  -69
  21,   11,  -36
 112,  -41, -105
 143,  144,  170
  -5,   10,   75
  36,   32,   29
 -71,   93,   42
  56,  -20,   36
 -85,   28,   19
-180,  -23,  -66
  42,   84,   92
 140,  -10,  157
  49,   69,   -5
 100,  102,  124
 -49,  -31,   84
 262,  -96,   64
 289,  -11,  -92
 -48,  -58,  114
-501,   58,   99
  -2, -125,   32
  38, -147,  -22
 -89,  117,   60
-172,  -60,  148
  55,  -21,    9
 -92,  -89, -101
 -53,  109,  104
 166,  -82,   79
-101, -141,  -42
 -35,  -95,  -59
 -94,  167,   90
 -15,  -21,   70
  12,   59,  162
  -3,   35,   23
-426,  -15,  144
 247,  121,  133
 170,  175,  173
 -50,   25,   99
  49, -160,   42
-327,  -91,   11
-370,   25,   66
-148,   44,  -19
 -35,  -24,  -41
  42,  -92,  149
 -75,   25,  -27
-461, -144,  -32
  17,   15,   99
  48,  -83,   69
-125,   -9,    9
  35, -107,    7
 311, -249,  238
-113,   21,  220
 -97, -117,   18
 -33,  109,  119
-142,   48,   65
-256,   -3,  -32
 128,   97,    6
  15,  114,  140
-225, -124,   46
-212,   67,   45
  23,  113,    7
-159,  -23,   -7
 191,  -48,  -66
  36,  -69, -146
 -48,   -5,    7
-184,  135,   56
 195,   85,   -7
 104,  -14,    2
-239,   16,  110
 207,   75,  159
  53,  -45,   18
  68,   74,   88
 304,  -73,   46
 -24,  -52,  -31
-107, -175,   28
   4,   77,  171
 153, -124,  172
-264,  -74,   -5
   7, -122,  -47
  93, -185, -105
  47,  -31,   -2
  -2,   -9,   12
   7,   -3,   -1
   0,    2,    2
   0,    2,    0
  -1,    2,    2
   1,    0,    1
   1,   -1,    0
  -1,   -1,    1
  -3,    2,    1
  -5,    1,    1
   5,    2,    2
   5,    2,    2
   3,    2,    0
   0,    0,    1
   1,    1,    0
  -1,    0,    2
  -1,    1,    2
   0,   -1,    1
  -1,    0,    1
   0,    1,    1
  -1,    1,    4
  -1,    0,    0
  -1,    0,    2
  -2,    0,    0
  -1,   -1,    1
  -1,    0,    1
   0,    0,    1
   0,    0,    0
   0,    0,    1
  -1,    1,   -1
  -1,    0,    0
   0,    0,    0
  -1,    1,    2
   1,    0,    0
   1,   -1,    0
  -1,    1,    0
  -1,    1,    1
  -2,    0,    1
  -1,    1,    1
   0,    0,    1
   0,    1,    1
   0,    0,    1
  -1,    0,    1
  -1,    0,    1
   0,    0,    2
   0,    0,    0
  -1,    1,    1
