ax,ay,az
   3,  131,  128
  60,  163,   76
   0,   20,  -63
  69,   28,  -37
 231,    4,   21
 -26,    5,  -31
-219,  123,  -10
  31,   16,   38
-176,  123,   -3
 -33,  -97,   22
 -89,  -50,   39
 511,  -99,   63
 -54,  -36,    0
  44,   35,    0
 -78,   26,    2
 120,   40,   80
 152,   -7,  -59
-344,   39,  -19
 -36,  -13,   -5
-115,  -60,   -3
 118,   17,  -39
  43,  -70,   18
  -8,  -28,   45
-205, -115,  -17
  12,    2,   61
  -9,  -27,   12
 -28,   -6,   -3
  -9,  -24,    1
  -1,   -4,   -2
  17,   -3,    5
 -19,  -74,   -9
 -36,  -51,   36
  33,  -14,  114
 -45, -125,  -67
  53,  -93,   29
  34,  -68,    1
  -8, -111,   14
  37, -107,  -10
 367, -191,   -2
-211,  176,  -77
  85,  -30,   38
 -95,  -32,   28
  -7,  -20,   54
 134,  -23,  109
-258,   12,   -4
 246, -192,  119
-176,   45,  -29
-288,   98,  -11
-141,   33,   47
 -81,  203,  -62
-227,   11,   94
 -52,  102,  -47
-120,  101,   15
-121,   84,   45
  30,   48,    6
   0,   28,  -10
   0,   11,    0
  12,   29,   -2
  67,   34,  -14
 -27,   29,   15
  35,   64,    4
 106,   54,  -18
  28,   35,    7
 193,  182,   90
   0,  139,  -10
  54,  113,   42
 -20,   98,  -48
-265,  -85,  -22
 160,  -18,   62
 -39,  -85,  107
 145,  -72,   72
 -66, -112,   -1
-221, -115,  -13
 -53, -141, -106
  -7,   80,    0
-213, -100,  -79
 -14,   -6,   16
 -78,   57,   92
 -64,    9,  -34
-128,  -10,   19
-116,  -53,  -40
 229,  -12,   35
-125,   51,   37
  13,   83,   -4
  81,  -11,  -51
 -13,  -27,  -38
 199,   37,   -1
  70,   88,   30
  79,   16,    2
 126,   46,   35
  81,   -7,   -7
  31,  -20,  -23
  93,   10,   -1
 -12,   -1,   23
  77,   43,   53
 -24,   10,    7
 -70,  -91,  -52
 -77,  -81,  -68
-262,   18,  -14
  15,   40,  -26
 -95,    7,  -30
 -57,    7,  -34
 -41,   -7,   38
-165,  -49,  -55
 171,  -47,  -26
  39,  -84,   13
 -39,  106,  -87
-104,   60,  -20
 -98,   11,  -86
-190,    3,  -40
 -47,   44,  -65
-132,  -28,  -10
 -19,    4,  -40
  96,  -50,  -38
  79,  -68,   23
 -53,   32,   77
 -49,   51,  -41
-115,  -13,   -6
 -62,  -21,   -7
 -30,  -11,    7
 -39,   -5,    0
  -9,    5,    7
 -11,   -5,   -1
  -1,   -3,    1
  15,    6,    3
   7,    0,    1
   6,   -1,   -2
