ax,ay,az
  40,   96,  109
 -25,   46,   53
  19,  -28,  -17
 125,  -55,  -37
  60, -122,  -93
  27,  -32,  -10
 229,   40,   36
-261,   93,   25
-147,   62,   10
 -84,  -66,   18
-160,   15,  -17
-317,   63,   40
 166,   24,   65
 290,  125,   38
  -3,   -8,  -26
-145,  -55,   62
-233,   40,   47
 180, -132,   85
  52,  -58,  -37
 157,  -49,  -14
  10,  -92,   98
-182,   74,   49
 -76,   -4,   -6
 -26,  -66,   31
 255,    2,   43
 113, -107,  -36
 -21,  -20,   41
 110,  -46,  -65
 -33, -103,  -37
 169, -106,  -77
 -18,   94,   95
 167, -135,  -94
  59,  -26,   70
-183, -145,  -43
  72, -176,   -6
  29,  -31,  -45
   6,  -93,   35
 215,  -62,   73
-104,  -59,   14
 -37,  -30,  -80
-488,   18,   20
 232, -108,  -30
-439,   39,  -12
 -21,    7,   56
 177,   25,   72
-143,   10,   21
-231,   24,   65
-151,   56,  -34
-151,  -62,    3
-172,    2,  -69
   1,   -1,   48
 -42,   41,  -21
-147,  143,   19
-109,   57,   49
 -96,   27,   56
 -45,   49,  -18
 -81,   10,    8
 -78,  122,  -87
  -3,  109,  -37
  36,   99,  -34
-124,   48,  -35
 -17, -100,  -12
 114,   92,   62
 -17,  -42,  -27
 -53,  -21,    1
  58,    2,   18
  19,   50, -107
  52,   62,   44
 151,  -19,   -9
-135,   -2,   65
  84,   46,   28
  13,   76,   32
 169,   55,  -15
  39,  -47,  -64
 -73,   20,  -66
 -58,  -76,   87
 -39,    0,   13
-223,   55,  137
-124,  -55,   54
 172,   48,   14
  10,    8,  -39
 -90,  -59,   96
  18,   -9,   33
  -7,  -51,   13
  -4,   -3,    2
 -10,   -2,    1
  -7,   -1,    2
   2,    3,    1
   4,    0,    0
   0,   -2,    0
  -1,   -1,   -1
  -2,    1,    1
  -2,    2,   -1
  -1,    1,    1
  -2,    0,    1
  -1,    0,    0
  -1,    0,    0
  -1,    1,    1
  -1,    1,    1
  -2,    0,    0
  -1,    0,    1
   0,    1,    1
  -1,    1,    1
  -1,    0,    1
  -1,    1,    2
  -1,    1,    1
  -2,    0,    0
  -1,    3,    3
   0,    0,    0
  -1,    1,    1
  -3,    0,    1
  -2,    0,    0
  -1,    0,    0
  -2,    1,    1
  -2,    1,    1
  -1,   -1,    1
  -1,    1,    1
  -1,    2,    2
  -2,    1,    1
  -3,    2,    0
  -2,    0,    0
  -3,    1,    1
  -3,    0,    1
  -2,    3,    1
  -1,    0,    1
  -1,    1,    0
  -2,    2,    1
