ax,ay,az
  11,   83,  -44
 -21,   37,   31
  53,   63,   23
   8,   87,   47
-133,  110,   45
-134,  -36,  139
 -12,    7,   63
 184,  -39,  -61
-318,   56,  -24
 -25,   26,   10
  11,  121, -103
 -20,   27,   23
  -8,  -93,  -23
  41,   -2,  -13
  18, -111,   25
-161,   52,  122
  18, -105, -143
 -60,   53,  119
 139, -119,  -52
  37,   79,   -9
  -1,  -32,   99
 -27,   -9,   46
  42,   -6,   96
  95,  -48,  -64
 -40,   -9,   37
 -97, -129,  -56
 -33,    3,   18
  91,  -28,   70
 -44,    3,   30
  52, -120,  -78
  91,  -13,   64
  30,   30,   17
 -46,  -53,  -34
  10,   15,  -81
 188,  -82,  107
-135,   45,  103
 137,  -36,   10
-113,   12,  -10
  47,   63,  -71
 -94,   15,  -27
-128,  -14,   -8
 -68,  -18,   -9
  12,   23,   29
  54,   41,   40
 -83,   30,  -12
 -19,   44,   20
 -39,   75,  -49
 184,   48,    3
-342,  221,   98
  39,    1,  -97
-357,  -70,  -18
  13,   57,   52
 -23,   67,   58
 120,   38,  -58
  66,  -11,   -3
 -46,  122,  -36
 145,   45,    4
 -41,  -42, -111
  23,   97,  -13
 172,   36,   18
-124,   60,   37
-136,   68,   28
-135,  -64,  -39
-209,   99,   73
 -66,   74,   -5
  25,   17,   51
-146,  -10,   -8
-246,   42,  -63
-123,   17,  -27
 -46,  -51,  128
-103,   21,   24
   2,  -15,   -9
 -25,   49,   -3
-155,   14,   -9
-172,  -28,   34
-141,    2,   39
 -36,  -81, -110
  47,  -95,   -8
  24, -115,  -64
 197, -115,  143
 171,  -59,    7
  18,   51,  134
  -2,  -70,   13
  25,    0,  -55
  85,   23,  -74
  34,  -12,   20
 108,   69,   42
 110,   81,   86
   7,  -92,  -38
 143, -290,  -27
 -43,  -51,   39
 109,   27,  -22
 160,   49,  -35
  -1, -135,  -38
   9,  -39,  -45
 -36,  -14,  -48
  49,    1,   19
 -67,  -55,   -8
-259,   95,  -40
  75,   -1,   62
-283,   13,  -49
 451,  -86,   20
-423,   25,   56
 -11,  -79,   40
-152,   67,  -44
  84,   -5,  -22
 -87,  -40,   41
-154,   94,   22
   3,  155,   21
-200,   86,  -88
 -93,  120,  -28
  83,   31,   16
-126,   24,   51
-140,   17,  -21
 267,  134,   -3
-145,  -22,    3
   9,   17,   34
  99,    4,  -49
 -27,   34,  -32
  38,   21,    5
  97,   91,  -23
  18,   32,   -3
  25,  100,   61
 132,  136,   11
  95,   40,  -49
 -13,  100,   -3
 161,  107,   23
