ax,ay,az
 -50,   -8,  -16
  18,   29,   -4
 -86,  -69,  -58
 -57,   87,   81
 215,   30,   16
  92,  -52, -122
 -62,   27,   41
 131,  -43,    8
-225,   43,   67
 235,   30,  119
 -87, -103,  -34
 254,    0,   62
 151,  -12,  -27
-108,   11,   14
 131,  125,   30
-211,   -6,   55
 -87,  -64,   -8
-234,   77,  -39
 161,  -27,  114
 -11,   16,  -15
-123, -111,  -89
-211,  -82,   -4
 -69, -119,  110
 159,  -43,  -30
 -76, -103,   28
 -95, -195, -128
 -90,  -91,  -21
 -20,  -22,   26
 -24,  -24,   10
  30,   35,   41
  80,  -47,  -12
 -51,  -47,   67
 173,    3,  -28
 -65,  -51,   -2
  78,   35,   78
-259,  -48,   72
 218,  -76,  -49
 -44,   67,  -33
  20,  -67,   -4
  75,   52,  -21
 130, -103,   13
 101,  -72,   79
-136,   30,   13
 432,   33,  104
  98,  119,   29
   5,   51,   47
-419,  158,  -31
-218,  188,   14
 -26,   34,  -31
  44,   93,  107
-297,  123,  -42
 113,   76,   43
 119,   58,   75
-142,   14,  -49
 -36,  110,    4
  -4,   46,   16
   0,   77,    1
   0,    6,    5
  13,    9,    5
   2,   45,   -1
 -19,   16,  -14
  82,   31,  -68
 -26,   52,   49
 180,   72,   33
 -10,  -48,  -19
 110,  -32,  -28
 -35,   -9,  -32
   8,  -15,    2
  13,   -2,   40
  20,    9,  -14
 -52,  -66,   61
 -64, -147,   25
 -89, -119,  -29
 -98,  -89,  -40
-103, -107,  101
  79,   37,   62
-142,  -55,  -17
  28,  -11,  -36
  81,   36,  -40
 136,  -78,  -23
 -20, -184,  -52
  -8,  -21,  -12
  30,   70,  118
 -47, -153,   22
  25,   51,   24
  -7,  -49,  -81
 -54,  -15,  -12
  15,    9,  -90
 -12,   48,   80
 118,   46,   -2
  36,   21,   -3
  70,   12,   -4
  65,  -24,  -19
  63,   13,   40
 121,   45,    7
 -23,  -28,  -80
   0,    0,  -34
-103,   35,   19
-159,   67,   -2
 -51,   67,   27
  12,   43,   29
   0,   66,  -18
 -45,  -28,  -28
 -30,  -96,  -12
 -71,  -53,   16
 -72,   -5,  -34
-302,  112,  -87
 -58,  -26,   29
  56, -111,   -7
  48,  -22,  104
-191,  136,   46
-262,    8,   70
-177,  -15,  116
 -14,   11,  -19
  38,   18,  -38
-253,    4,   50
 -36,    5,  -21
 -19,  -66,  -22
 -46,  -96,  -91
 -87,  -25,    4
 -24,    0,    3
 -15,    3,    8
 -18,   -5,   -1
  10,    6,    4
   4,    6,    7
  11,    3,    4
   9,    3,    1
