ax,ay,az
  57,  105,   60
 -50,  -36,  -69
  55,  -24,  -96
 173,  -63,  -64
-129,   48,   58
  29,  -74,  -41
  85,    8,  117
   8,   75,  231
-317,  -31,   92
  61,   48,   71
 324,  -68,  -80
-227,   65,   -3
-239,   74,   -5
 105,   -2,   64
-142,  -72,  -21
 -72, -159,  -13
 -23, -112,   20
 -62,   -9,   43
 297, -143,  -14
   7,  -21,   -9
 -91,  173,  174
 115,   72,   13
  56,  -40,   -3
 -96, -107,  -18
  68,    0,   21
 140,   18,    5
  56,  -30,  -45
  81,  -79,  -23
 128,   70,   95
 -67,   24,   64
 154,   51,   69
 -20,  -40,  214
 134,   52,  227
 -62,   46,   24
 -81,  -22,  147
  41, -121,  -27
   5,   44,    7
 280,  -31,  -76
 -42,   81, -138
 310,   95,   90
 402,   19, -120
-121,   -7,    4
  64,  -63, -108
 377,   17,  -95
  10,   19,  167
-171,  -92,   41
 118,   50,   47
 271,   72,  -38
 -75,  124,    1
   4,   46,    8
 -95,   38,  -48
 -19,   -1,  -60
 283,   18,   59
-140,  118,   34
-131,   36,  -22
  57,   12,   53
 -43,   48,   79
   4,   85,   18
-116,   94,   75
  62,   15,  -63
-170,    9,  147
  74,  151,  -16
 -58,   81,  -34
 109,  114,   28
  94,   41,  -51
 -37,  -62, -184
-330,   50,   16
-512, -512,  511
-256, -213,   -1
-168,  -37,   34
 427,  511, -512
-329,   42,  -31
 164, -313,   -1
 -82,   23,   76
-279, -121,  107
 -81, -213,  141
  95,  -93,  -32
 109,  -65,   29
 -88,  -62,  -58
 -74, -144,   27
  21, -111, -146
-114,   15,   98
 133,  -12,   39
 -65,   -8,  119
  34,   -5,   20
  68,  -84, -118
  99,  -49,   43
 135,  -97, -133
 122,  -85,   71
 270,   -2,   41
   3,  107,  -37
 -97,  -12,  100
  49, -214, -138
  82,  -52,   31
-116,  -28,   72
 257,  -17,  337
-180, -144,  149
 239, -430,  121
 -34,   47,   33
 107,  163,  -67
 325,  -68,  158
 487, -512,  511
-395,   93,  -95
-317,  213,  193
 128,  -69,  121
 231,   47,   31
 203,   71,   96
 -22,    5,   57
  51,    3,  -77
-198,   35,  -21
 159,   91,  -78
-203,  141,   23
-233,   28,   83
 -58,   16,   52
 193,   74,  -56
 -61,   49,  -17
 153,   71,  -82
 130,    2,  -65
  24, -101, -106
  76,   12,  -49
  58,  -41,  -72
 130,   48,  -60
  38,  100,  -11
  57,   12,  -52
  -3,  -24,  -91
  55,   48,   -4
 -60,  -76,   15
