ax,ay,az
-114,  -18,   77
 -56,  -42,   11
-235,   90,  137
 -28,  -57,   -8
  20,    2,    4
  -7,   -7,    8
 168,  -41,    2
-156,   43,  144
 -71,  -31,   20
  35,   -9,  -80
 236,  -21,   64
 -43,    3,  -46
 -52,  -60,  -12
 110,  -34,   56
 112,   28,   -6
 137,   70,  -55
 -28,  151,  -14
  45,   54,  -31
  -7,   36,   16
  24,   29,   39
  88,  107,    3
  21,   11,   45
  39,   59,    3
 -58,  100,  -18
 -35,   48,  -29
-160,  165,   42
-107,   31,  -37
 -69,   83,   71
 -78,  107,   65
-122,   64,  -17
 -82,  -31,  -55
  69,   87,    0
 243,   -3,   30
  75,   -2,  -67
-169,  153,   16
  47, -100,   28
-249,  -30,  -79
  65,  -17,  -30
-178,  -10,   30
 268,  -76,   87
-105, -130,  -28
  90,   -5,   55
 -46,  -44,   15
 -30,  -70,  -18
 -13,   -7,    2
 -25,  -38,   33
  30,   87,   72
  23,  -45,   27
 -40,   29,   -7
 118,  -49,   11
 130,  -22,  -25
 221,  -54,  -44
 -30, -149,  -79
  43,   75,   55
-116,  -79,  125
 141,  132,   23
 274,   49,   35
 131,  -43,  -23
 -10,  -67,  105
-114,  -23,  -54
 264,  133,  -27
 130,  122,   87
-129,  -16,   49
 -43,  151,   87
  33,   99,   39
  84,  -42, -115
-170,  -31,  -12
 128,   99, -115
-174,  -80, -105
-101,   32, -117
 -40,  143,   31
-168,  -36,  -49
-112,  116,   69
 105,  -17,   -8
-132,   54,   32
  87,   79,  -22
 -68,  -29,   68
 354,   27,   25
  13,  -39,  -62
 214,   61, -116
 -27,  -57,   85
 -44,   55,   69
-108,   75,  -88
-219,  -21,   -8
-257,  -99,   81
-224,   71,  -67
  14,   15,   16
 -24,   41,   85
 -99,  -22,   25
 -56,  -23,   33
 128,   18,   77
  88,  -10,   66
  24,  -14,   67
  17,   -8,    3
  89,  -80,  -44
  13,  -50,  -21
  52,  -37,    4
  19,   -6,    0
   7,    0,   -1
   1,    3,    3
  -3,    0,    1
  -4,    3,    2
   0,   -1,    0
  -3,    0,    0
  -2,    0,    0
  -2,   -1,    0
  -1,   -1,    0
  -2,    0,    1
  -3,    1,    0
  -2,   -1,    1
  -3,    0,    0
  -4,    0,    1
  -3,    3,    2
  -3,    0,    1
  -4,    2,    1
  -2,   -1,    1
  -2,   -2,    0
  -3,   -1,    0
  -3,    2,    2
  -3,    0,    1
  -2,    0,    0
  -1,   -1,    0
  -2,    0,    1
  -2,    0,    2
  -2,   -1,    0
  -1,   -2,    1
  -2,    0,    0
