ax,ay,az
  61,   66,    5
  58,   23,   15
  36,   36,  -28
-157,   13,   21
 136,   68,   12
 -48,   96,   77
  78,   50,  130
 160,   -6,  109
 131,   30,  199
-108,   -1,  178
 221,  -90,   56
 181,   54,  -23
  29,  -19,   51
 -72,   22,  144
   0,  -51,  237
-512, -512,  280
 251,  511,  -26
 -27,  132,  157
-366,  -92,  189
 273, -146,  236
-301, -124,  130
 511, -512,  263
 -81, -152,   97
 -91,   59,   31
 101,  -78,   72
 -88, -202,  -80
 -49, -129,  -73
 -15,  -31,    7
  -8,    1,    8
  -9,  -13,   -5
   9,   40,   -4
 -83,   23,   -7
 -31,  -80,  -15
  89,   26,   41
 -13,  -36,    0
  44,  -36,   39
-169,   65,   77
-139,   28,  -57
 -20,  -82,  -69
 -84,   53,   67
  61,  -96,  -57
 180,   27,  -29
   0,  -68,  106
  41,  -59,   28
 133, -187,   75
  62,   54,    7
 -48, -112,  181
 265,  -84,   58
 392,   86,   22
 -44,   38,  104
 511,  511, -512
 -71,  265,  -15
 333, -133,  216
 -33,   29,  185
-130,   12,  104
 206,   84,  -27
   7,  122,   77
  31,  204,   51
   2,  176,  176
 -25,   83,   33
  44,   44,   -8
  -6,   -2,   -3
 -32,   29,    1
  31,   73,   60
  45,   -4,  -62
  23,    4,  -84
-106,  -26,  -85
-108,   70,   -4
 -75,   56,   35
 141, -125, -119
 199,  -62,   -6
-258,    2,   26
-186,    6,  -22
 -74,  110,   72
 166,  -10,  150
 -70,  -58,   53
 -86,   43,  148
-116,  125,  182
  69, -332, -197
 198,  -24,   -7
-102,  219,   82
 144,   40,  179
  88,  -46,   89
-161,    9,   35
  35,    8,  156
  71,   53,   44
-392,  -53,  -96
  91,  -76,   30
 106,  -66,  -47
  67,  -79,  -77
 -18,  151,  230
  89,   46,   21
  81,   15,  -17
  71,   10,   -9
  50,    5,   -2
  47,   17,  -15
   3,  -36,  -68
  -7,  -29,  -22
 127,   99,  110
 -95,   12,   44
 239,  -45, -197
  29, -122,  -76
 176,   26,   28
-172,  -88,  -40
-114,  -72,   16
  40,   -7,   32
 116, -106, -102
 211, -114,   51
-512, -397,  298
 471,  -40,  161
  98,   47,   93
 209,   -7,  148
  14, -181,  132
  22,  -58,  123
 153,  -78,   62
-270,  188,   -9
-382, -205,   99
 -84,  -42,  -66
   3,   59,    4
 -17,  -58,   22
-194,  -35,  -16
 -56,  -48,  -15
 -58,    6,    4
 -69,   16,   16
 -17,  -10,   -1
  -5,    2,    4
   6,   -2,    1
