ax,ay,az

  24,   51,   32

  97,  147,   23

-101,  -29,   -9

  33,  121,   17

 -55,  114,  -32

 -26,   13,  -68

  73,   82,   18

  69,   50,   13

 -51,   83,   23

 152,  109,   49

-121,  -28,  -12

 -48,  -78,  -74

-208, -168,  -33

  23,  105,    9

  35,   88,    9

 103,   26,   -5

 -71,    8,   43

 157, -150,   89

 165, -108,   -1

 130,  -44,  104

-130,  160,  -64

-109,    1,  -21

 -41, -207,  153

 -86, -119,   -7

  -4,  -48,    7

 104, -142,   41

-163,   51,    8

  21,   33,   80

 149, -147,   10

-127, -133,  -22

 -67,  -51,  -44

 275, -102,   99

  15,  -58,  -33

 -69,  -34,  -12

 -33,   43,   -3

 -17,  -34,  -14

 105,   93,  -41

   4,  -16,   -8

 124,  -18,   27

-115,  -87,   18

-139,   41,   11

 183,   59,  -51

 -10,  102,  -70

-153,   81,   15

 -48,  -17,   35

 -44,  108,   98

 -24,  147,   -7

  64,   97,    3

  47,  -98,   -6

  68,   88,  -28

  12,  -91,   50

  69,  -26,  -46

   5,   41,   34

 -70,   20,   61

 -58,   82,   24

-138,   76,   31

  85,    7,   27

 -32,   16,   -3

 191,  -22,  -18

  31,  -84,   20

  31,   41,    4

 -16,    6,   -1

  42,   21,   43

  41,   13,  -19

 102,   38,   -7

  15,   -2,   -1

  51,   13,    3

 -40,   -6,  -40

   5,   52,  -17

  75,   37,  -11

  88,   16,   47

 369,   18,   73

-143,  -88,  -33

  24, -110,  -45

  54,   23,  -32

 -96,  -16,    6

 -88,  -41,   41

-361,  -19,   39

-262,   88,  -69

  98,   35,   41

 -73,    5,    0

-115,   91,   12

 -55,   15,  -34

 -62,   59,   42

 -34,  -90,   26

 -71,   27,    8

 -95,   -2,   16

 115, -120,   56

  22,  -11,   10

 362, -110,   22

-196,   62,   33

   9,   57,   -4

-258,  101,  -20

 -19, -105,   26

 -31,   49,   -7

 293,   -6,   -7

  30,   -7,   43

 -58,  -42,   31

  58,  -51,   36

  57,    8,   29

 -75,   24,  -24

 -56,   11,  -34

 -42,  -15,   29

  63,   64,   40

-141,   74,  111

 -38,   31,   11

 322, -117,  -73

 146,   14,   23

-177, -112,    3

 -95,  -92,  108

 359,   16,   20

 227,  100,  -61

 104,  -77,   42

 -62,  -38,  -67

 -65,   33,   -6

  35,   39,   52

  16,  -56,  -21

 -72, -161,    7

  -6,    3,    7

  32,  -22,    0

   6,  -25,    1

  14,   -5,    1

   1,   -4,    1

  -2,   -5,    0

   4,   -6,    1

  -3,   -5,    0

  -6,   -6,    0

  -1,   -7,   -1

  -3,   -5,    0

   0,   -5,   -1

  -1,   -4,   -2

  -1,   -6,    0

  -1,   -6,    0

  -3,   -6,    0

  -4,   -6,   -1

  -5,   -5,    1

  -3,   -6,   -1

  -6,   -4,    2

   3,   -6,    1

  -3,   -5,    2

  -1,   -6,    0

  -2,   -6,    0

  -2,   -5,    0

  -1,   -5,    0

  -4,   -5,    0

  -2,   -5,    0

   0,   -5,    0

  -2,   -4,    0

  -2,   -4,    0

  -2,   -5,   -1

  -3,   -5,    0

  -3,   -5,    1

  -3,   -5,    0

  -3,   -6,    0

   1,   -5,   -1

   1,   -5,   -1

   1,   -5,   -1

  -1,   -5,    0

  -2,   -6,   -1

  -2,   -5,    0

  -3,   -5,    0

  -2,   -5,    1

  -2,   -4,    0

  -1,   -5,    1

  -3,   -6,   -1

  -3,   -6,    0

   0,   -6,    0

  -1,   -4,    0

  -2,   -6,   -1

  -2,   -6,   -1

  -2,   -5,   -1

  -2,   -6,    0

  -2,   -5,    0

  -2,   -5,    1

  -1,   -5,    0

  -2,   -5,   -1

  -3,   -6,    0

  -4,   -5,    0

  -3,   -4,    0

  -3,   -5,    0

  -2,   -7,    0

  -2,   -6,   -1

  -2,   -6,    0

  -3,   -5,    0

  -2,   -5,    2

  -3,   -5,   -1

  -2,   -4,   -1

  -3,   -6,    0

  -3,   -4,   -1

   0,   -5,    0

  -2,   -5,    0

  -3,   -6,    0

   0,   -6,   -1

  -1,   -5,   -1

  -1,   -5,    1

  -1,   -6,    1

  -2,   -4,   -1

  -2,   -5,    0

  -2,   -6,    1

  -3,   -5,   -1

  -2,   -6,    0

  -2,   -5,   -1

  -1,   -5,    0

end

