ax,ay,az
 -30,   80,  -12
 -97,   70,    9
 -12,   22,  -11
 173,   27,   11
 -61,   -4,   -6
-148,    2,  -24
 -14,  -39,   11
-123,  -16,   -5
  12,   38,   19
 -70,   11,   14
 336,    2,   49
 232,  -19,  -32
-292,  -32,   36
 137,   41,  -20
  78,   25,   25
-234,  -97,   21
 285,  -69,   -7
-225, -111,    7
   5,  -18,  -11
-178,   68,  -29
-233,   96,  -40
  81,   15,  -26
 132,   88,   46
 -78, -151,   29
  50,  -23,  -15
  38,   -2,   -3
-202,  -21,  -32
  83,   -3,   15
-130,  -56,   13
 -24,  -25,    0
 112,   20,    6
-119, -151,  -25
-220,   30,  -62
 -33,  -54,  -34
  44,   18,   71
  59,   12,   80
-136,  -38,    9
 244,  -40,   -3
 -99,  -85,   22
-198,  -30,   17
-117,  -13,  -16
-316, -141,    0
 -92,  -57,  -35
-103,  -17,   63
  38,  103,   97
  82,   94,  -33
 -47,    0,   18
  41,  -30,   10
  17, -128,   46
 141,   20,   23
 -18,   23,   -1
  26,   -2,   11
  -6, -189,  -30
 -80,   -5,   74
 132,   -8,   21
 -19,   25,  -39
  58,  154,   13
  11,  -40,   21
  -3,   55,   37
  -8,   49,   45
  69,   38,   17
  59,   19,    4
  45,   14,    5
  82,    4,    7
 151,   -9,  -51
 288,  -44,   80
 119,   55,   20
 229,  -11,  -38
-148,   64,   18
 -88,   12,   35
 -74,  -26,    4
  22,   12,   37
 424,   77,   76
 211,  -33,   77
  62,  -45,  -15
 113,  -53,    3
 -81,    2,    9
-237,   28,   16
  43,  -81,  -19
 232,  -88,  -27
 -30,   24,  -10
  73,  -28,   10
  55,  -56,   20
  78,  -28,   58
-123,  -32,  -68
 -80,    8,   17
  81,    7,  -13
  33,    1,   -3
-128,   14,  -23
  49,   13,  -15
  42,   33,   11
-208,   74,  -41
   3,  -51,   30
  66,  -72,   29
 -21,    6,   50
  47,   -6,  -22
  31,  -69,   29
-115,  -46,    7
   3,  -64,   97
-186,  -68,   -7
 117, -179,   12
-110,    6,  -80
-149,   11,   93
  54,  -60,   41
 -23,  -13,  129
 -19,  -98,  -29
  58,    3,   78
  47,  -11,   13
  20,  -55,  -11
   8,  -16,  -15
 -15,   32,   18
  33,  -29,  -30
  44,  -13,   16
  32,    0,    8
   5,   -3,    1
   5,   -3,   -1
  -4,   -4,   -2
  -7,   -1,    1
  -9,   -1,   -1
  -5,   -3,   -2
  -5,   -2,    1
   2,   -3,   -1
   3,   -2,   -1
  -2,   -2,    0
   1,   -3,   -2
   0,   -2,    0
  -1,   -2,    0
  -2,   -3,    0
  -2,   -3,    0
  -1,   -1,    2
  -1,   -2,    1
  -1,   -2,    0
  -2,   -2,   -1
  -1,   -3,   -1
  -2,   -3,    0
  -2,   -2,    0
  -2,   -3,    1
  -2,   -4,   -1
  -3,   -2,   -1
   0,   -3,    0
  -1,   -2,   -1
  -3,   -1,    1
  -2,   -2,   -1
   0,   -3,    0
  -2,   -2,    0
  -2,   -4,   -1
  -2,   -2,    0
  -2,   -5,   -4
  -2,   -2,   -1
   0,    2,    6
  -1,    0,    0
  -1,   -2,   -1
  -2,   -1,   -1
  -2,   -3,    1
  -1,   -1,    1
  -2,   -2,    0
  -1,   -3,    0
  -2,   -3,    0
  -2,   -1,   -1
  -1,   -3,   -1
  -2,   -3,   -3
  -2,   -2,    1
  -2,   -2,   -2
  -1,   -1,    0
  -2,   -2,    1
  -2,   -2,    0
  -1,   -2,   -1
  -2,   -1,    1
  -2,   -1,    0
  -2,   -3,   -1
  -1,   -4,   -1
  -1,   -3,   -1
  -3,   -1,    0
  -3,    1,    2
  -1,   -2,    0
  -2,   -2,    0
  -1,   -2,   -1
  -1,   -3,   -2
  -1,   -2,   -1
  -3,   -2,   -1
  -3,   -1,   -1
  -1,   -3,   -1
  -1,   -2,    1
  -2,   -1,    0
  -1,   -2,   -1
  -2,   -4,   -2
  -2,   -3,   -2
  -2,   -2,   -1
  -1,   -1,    1
  -1,   -3,    2
  -1,   -2,   -1
  -1,   -2,   -1
  -1,   -3,   -1
  -2,   -2,   -1
  -1,   -2,    0
  -3,   -1,    0
  -1,   -3,   -1
  -2,   -1,    0
  -1,   -2,    0
  -1,   -2,   -1
  -1,    0,    0
   0,   -2,    1
  -2,   -1,    1
  -2,   -2,    0
  -1,   -1,    1
  -2,   -1,   -1
  -2,   -2,   -1
  -2,   -3,    1
  -2,   -3,    0
  -2,   -1,    0
  -2,   -3,    0
  -2,    0,    0
  -3,   -1,   -1
  -1,   -2,    0
  -2,   -2,    0
  -1,   -2,   -2
  -1,   -2,    0
  -2,    0,   -1
  -2,   -2,    0
  -1,   -2,   -1
  -2,   -1,   -1
  -2,   -2,    0
