ax,ay,az
 151,  177,   33
  36,   12, -127
 100, -123,    4
 151,   34,  -72
  92,    2,  -14
  74,   16,  -34
 -35,   48,   60
  84,  -25,  -23
 182,  -40,   61
-271,  -36,   14
-170,   78,   42
-405,   71,   26
-233,    0,   11
 232,  -26,   72
  53,  -49,   24
 275,  -44,    5
 134,   54,  -30
 -83,  -72,   83
-176,  -36,   -9
   6,  -74,  -38
-141, -171,  -44
 -76,  -65,   19
 -81, -174,  -80
 -59,  -33,   37
 -42,   -6,   11
  -8,  -20,   -9
 -17,  -10,   -9
  31,   25,    7
  -1,  -19,    2
  14,  -12,    1
  26,  -36,    5
 -32,  -76,   52
  64,  -81,   -5
 255,  -70,  -87
-171,  -80,   53
 -61,  -93,  -34
 271,  -56,   12
 -28,   34,    1
 -92,  -63,   16
 346,   15,   11
-421,   43,   16
-118,   63,  -20
-218,  -63,   10
-141,   47,   14
-137,   66,  -49
 -63,   89,    3
 178,   46,   81
-103,  166,   16
  85,  101,    2
 -91,   83,   -2
 138,   96,  -43
  82,   35,   -8
  -9,   96,    4
  51,  207,    8
 -17,   74,   27
  -3,   55,    7
   2,   20,    2
   0,   29,   -2
  -7,   29,    4
 -15,   34,   16
  12,   84,  -14
 -73,  115,   -6
  21,  120,   39
  15,    8,  -55
-133,  108,   62
 285,    3,  -47
-126,    4,  -79
  21,  -69,   -1
 123, -141,   31
-101,   -1,  -39
 -89,   16,   73
 -62,  -74,   51
 -21,  -17,   19
 -69,  -82, -102
  33,   -3,   66
-228,   39,   62
 -25,  -52,   -6
-204,   41,   -6
 -51,  -70,  136
  91,   71,   29
  31,  -37,   74
 145,  -32,   32
-106,  -17,   29
-118,  -67,  -52
-183,  -37,  -27
 -68,  -14,    7
  37,  -51,   -8
  23,  -74,  -56
  50,   11,    9
  91,   18,    5
  70,   11,    4
  92,   31,    0
  92,   21,    2
 247,   49,   -9
  55,   -5,  -34
 377,  -69,  -90
  27,   -5,  -20
 460,  130,  -52
 142,  -91,   22
 107,   78,   17
-188,   79,  -79
-152,   47,  -75
-101,   40,   41
 280,  -67,    6
-255,   -3,  -83
  90,  -67,    3
  60,   26,   19
-403,  -44,  -26
  21,   57,   20
-103,   49,  -31
-109,  -50,  -10
 -97,  -58,   56
-113,  -53,  -49
  60, -106,    2
 -67,   64,  -39
-188,  -89,    2
-116,  -72,  -24
 -31,  -20,    8
 -54,  -47,  -30
 -20,    2,    5
  -2,   -1,    3
   4,    3,    3
  13,    6,    4
   3,   -1,    0
  -1,    1,    1
  -2,    0,    1
  -3,    0,   -1
  -3,    0,    1
  -2,    1,    1
  -2,   -1,    1
  -2,    0,    0
  -2,   -1,    0
  -2,    0,    2
  -2,   -2,    0
  -3,    0,    1
  -3,    0,    1
  -2,   -1,    1
  -3,    0,    1
  -2,   -1,    0
  -2,   -1,    1
  -2,   -1,    1
  -1,   -1,    1
  -1,    0,    2
  -2,   -1,    2
  -3,    0,    1
  -2,   -1,    1
  -2,    0,    1
  -2,   -1,   -1
  -2,    0,    1
  -3,   -1,    1
  -2,    0,    1
  -3,    0,    1
  -3,    0,    2
  -3,   -1,    0
  -2,   -2,    1
  -1,   -1,    1
  -2,   -1,    0
  -1,    0,    1
  -3,    1,    1
  -4,    1,    2
  -3,   -1,    1
  -1,    0,    1
  -2,    0,    0
  -2,   -1,    0
  -3,   -1,    1
  -2,    0,   -2
  -2,    0,    1
  -3,    0,    2
  -2,   -1,    1
  -2,   -1,    0
  -3,    0,    1
  -2,   -1,    2
  -2,   -1,    1
  -3,    0,    1
  -2,   -1,    2
  -2,   -1,    1
  -2,   -1,    0
  -2,   -1,   -1
  -2,    0,    1
  -2,    1,    1
  -3,    1,    1
  -1,   -1,    0
  -3,    0,    0
  -2,    0,    1
  -2,    0,    2
  -2,    0,    1
  -2,   -1,    0
  -2,   -1,    2
   0,    0,    1
  -2,    1,   -1
  -3,    0,    1
  -2,   -1,    1
  -2,   -1,    0
  -2,    0,    0
  -3,    1,    1
  -2,    1,    1
  -3,    0,    0
  -2,   -2,    1
  -2,   -1,    1
  -2,   -1,    0
  -3,    1,    0
  -2,    0,    0
  -2,   -1,    0
  -3,    1,    0
  -2,    0,    1
  -4,    0,    1
  -2,    0,    1
  -2,    0,    0
  -2,    1,    0
  -2,    1,    0
  -2,    0,    0
  -2,    0,    0
  -3,    0,    0
  -2,   -1,    2
  -2,    0,    1
  -3,    0,    0
  -2,   -1,    0
  -2,   -1,    0
  -2,    0,    0
  -2,    0,    1
  -2,    0,    1
